2023-07-17:00-37-08,2023-07-17:00-37-10,2023-07-17:00-37-12,2023-07-17:00-37-14,2023-07-17:00-37-17
0.0,0.0,0.0,0.0,0.0
32.0,32.0,32.0,32.0,32.0
32.0,32.0,32.0,32.0,32.0
